Code,Sum of Quantity Shipped,TimePeriod
ANGEL,373,2023-01-09 00:00:00
ANGEL,0,2023-01-11 00:00:00
ANGEL,0,2023-01-13 00:00:00
ANGEL,0,2023-01-14 00:00:00
ANGEL,0,2023-01-15 00:00:00
ANGEL,97155,2023-01-16 00:00:00
ANGEL,0,2023-01-17 00:00:00
ANGEL,0,2023-01-18 00:00:00
ANGEL,0,2023-01-20 00:00:00
ANGEL,0,2023-01-21 00:00:00
ANGEL,0,2023-01-22 00:00:00
ANGEL,0,2023-01-23 00:00:00
ANGEL,0,2023-01-25 00:00:00
ANGEL,6096,2023-01-26 00:00:00
ANGEL,2689,2023-01-27 00:00:00
ANGEL,0,2023-01-29 00:00:00
ANGEL,31105,2023-01-30 00:00:00
ANGEL,28917,2023-01-31 00:00:00
ANGEL,158950,2023-02-01 00:00:00
ANGEL,25267.5,2023-02-03 00:00:00
ANGEL,0,2023-02-04 00:00:00
ANGEL,0,2023-02-05 00:00:00
ANGEL,708038.5,2023-02-06 00:00:00
ANGEL,64410,2023-02-07 00:00:00
ANGEL,80260,2023-02-08 00:00:00
ANGEL,105549,2023-02-09 00:00:00
ANGEL,43662.5,2023-02-10 00:00:00
ANGEL,240,2023-02-11 00:00:00
ANGEL,0,2023-02-12 00:00:00
ANGEL,449096,2023-02-13 00:00:00
ANGEL,205195,2023-02-15 00:00:00
ANGEL,3576,2023-02-16 00:00:00
ANGEL,138007,2023-02-17 00:00:00
ANGEL,0,2023-02-18 00:00:00
ANGEL,0,2023-02-19 00:00:00
ANGEL,273425.5,2023-02-20 00:00:00
ANGEL,340782,2023-02-22 00:00:00
ANGEL,172207,2023-02-24 00:00:00
ANGEL,0,2023-02-25 00:00:00
ANGEL,0,2023-02-26 00:00:00
ANGEL,201361,2023-02-27 00:00:00
ANGEL,42404,2023-03-01 00:00:00
ANGEL,257314,2023-03-03 00:00:00
ANGEL,0,2023-03-04 00:00:00
ANGEL,0,2023-03-05 00:00:00
ANGEL,290567,2023-03-06 00:00:00
ANGEL,0,2023-03-07 00:00:00
ANGEL,182062,2023-03-08 00:00:00
ANGEL,66858,2023-03-09 00:00:00
ANGEL,18147.5,2023-03-10 00:00:00
ANGEL,0,2023-03-11 00:00:00
ANGEL,0,2023-03-12 00:00:00
ANGEL,301973.5,2023-03-13 00:00:00
ANGEL,0,2023-03-14 00:00:00
ANGEL,96821,2023-03-15 00:00:00
ANGEL,43784,2023-03-16 00:00:00
ANGEL,155065.5,2023-03-17 00:00:00
ANGEL,0,2023-03-18 00:00:00
ANGEL,0,2023-03-19 00:00:00
ANGEL,219784,2023-03-20 00:00:00
ANGEL,20872,2023-03-22 00:00:00
ANGEL,0,2023-03-25 00:00:00
ANGEL,0,2023-03-26 00:00:00
ANGEL,275530.5,2023-03-27 00:00:00
ANGEL,38324.5,2023-03-31 00:00:00
ANGEL,0,2023-04-01 00:00:00
ANGEL,0,2023-04-02 00:00:00
ANGEL,119796.5,2023-04-03 00:00:00
ANGEL,0,2023-04-09 00:00:00
ANGEL,57326.5,2023-04-10 00:00:00
ANGEL,90892,2023-04-11 00:00:00
ANGEL,0,2023-04-16 00:00:00
ANGEL,69542.5,2023-04-17 00:00:00
ANGEL,0,2023-04-22 00:00:00
ANGEL,0,2023-04-23 00:00:00
