LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
14,102964.5,,1
14,18636900.85,,2
14,21281382.85,,3
14,2273804.8,,4
14,720002.5,,5
14,944354,,6
14,68197047.4,,7
14,2559835.5,,9
14,1708144,,10
14,6829514.5,,11
14,14811.85,,12
14,44804468,,13
14,2588939,,14
14,534854,,15
14,6592629,,16
14,741253,,17
14,79485,,18
14,124828,,19
14,805930,,20
14,518179,,21
14,13814877.5,,22
14,1185904,,23
14,652376,,24
14,848574.5,,25
14,284384,,26
14,26037057.3,,27
14,3199064.25,,28
14,3049475.5,,29
14,12819084.5,,30
14,1285696,,31
14,1023604,,32
14,501844.5,,34
14,9774702.25,,35
14,648114,,36
14,597750.5,,37
14,7272616.5,,38
14,23113175.35,,39
14,3707571,,40
14,20492595,,41
14,4154958,,42
14,3254400.9,,43
14,7902910.5,,44
14,2411620,,45
14,1023053.5,,46
14,77235282,,47
14,41729,,49
14,3420599.65,,50
14,1145521,,51
14,14651754.1,,52
14,0,2022-06-06 00:00:00,41
14,1212.5,2022-06-10 00:00:00,7
14,1494,2022-06-16 00:00:00,22
14,192654,2022-06-16 00:00:00,41
14,16786,2022-06-18 00:00:00,7
14,0,2022-06-18 00:00:00,41
14,7676,2022-06-20 00:00:00,2
14,4569,2022-06-20 00:00:00,6
14,66545.5,2022-06-20 00:00:00,7
14,140006,2022-06-20 00:00:00,13
14,5328,2022-06-20 00:00:00,27
14,10948,2022-06-20 00:00:00,35
14,13248,2022-06-20 00:00:00,40
14,262694,2022-06-20 00:00:00,41
14,6870,2022-06-20 00:00:00,47
14,0,2022-06-21 00:00:00,2
14,0,2022-06-21 00:00:00,7
14,0,2022-06-23 00:00:00,2
14,0,2022-06-23 00:00:00,3
14,0,2022-06-23 00:00:00,4
14,0,2022-06-23 00:00:00,5
14,0,2022-06-23 00:00:00,7
14,0,2022-06-23 00:00:00,13
14,0,2022-06-23 00:00:00,14
14,0,2022-06-23 00:00:00,17
14,0,2022-06-23 00:00:00,20
14,0,2022-06-23 00:00:00,24
14,0,2022-06-23 00:00:00,27
14,0,2022-06-23 00:00:00,28
14,0,2022-06-23 00:00:00,29
14,0,2022-06-23 00:00:00,34
14,0,2022-06-23 00:00:00,35
14,0,2022-06-23 00:00:00,37
14,0,2022-06-23 00:00:00,38
14,0,2022-06-23 00:00:00,39
14,0,2022-06-23 00:00:00,44
14,0,2022-06-23 00:00:00,45
14,0,2022-06-23 00:00:00,52
