LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
1,756.0,2022-07-04 00:00:00,29
1,3259.0,2022-07-04 00:00:00,31
1,8250.0,2022-07-04 00:00:00,35
1,16669.0,2022-07-04 00:00:00,38
1,912.0,2022-07-04 00:00:00,39
1,208128.0,2022-07-04 00:00:00,41
1,1832.0,2022-07-04 00:00:00,43
1,0.0,2022-07-04 00:00:00,44
1,5104.0,2022-07-04 00:00:00,47
1,2760.0,2022-07-04 00:00:00,52
1,0.0,2022-07-06 00:00:00,7
1,0.0,2022-07-06 00:00:00,13
1,0.0,2022-07-06 00:00:00,14
1,0.0,2022-07-06 00:00:00,15
1,0.0,2022-07-06 00:00:00,27
1,0.0,2022-07-06 00:00:00,28
1,0.0,2022-07-06 00:00:00,38
1,0.0,2022-07-06 00:00:00,44
1,0.0,2022-07-06 00:00:00,45
1,0.0,2022-07-06 00:00:00,52
1,0.0,2022-07-08 00:00:00,3
1,0.0,2022-07-08 00:00:00,6
1,0.0,2022-07-08 00:00:00,13
1,0.0,2022-07-08 00:00:00,15
1,0.0,2022-07-08 00:00:00,16
1,0.0,2022-07-08 00:00:00,22
1,0.0,2022-07-08 00:00:00,27
1,0.0,2022-07-08 00:00:00,29
1,0.0,2022-07-08 00:00:00,34
1,0.0,2022-07-08 00:00:00,35
1,0.0,2022-07-08 00:00:00,40
1,0.0,2022-07-08 00:00:00,41
1,0.0,2022-07-08 00:00:00,44
1,0.0,2022-07-08 00:00:00,45
1,0.0,2022-07-08 00:00:00,47
1,0.0,2022-07-08 00:00:00,52
1,2419.0,2022-07-09 00:00:00,7
1,2944.0,2022-07-11 00:00:00,2
1,11256.0,2022-07-11 00:00:00,3
1,34226.0,2022-07-11 00:00:00,7
1,2510.0,2022-07-11 00:00:00,10
1,75696.5,2022-07-11 00:00:00,13
1,2987.0,2022-07-11 00:00:00,27
1,170.0,2022-07-11 00:00:00,29
1,1300.0,2022-07-11 00:00:00,30
1,22422.0,2022-07-11 00:00:00,33
1,16002.0,2022-07-11 00:00:00,35
1,21441.0,2022-07-11 00:00:00,38
1,6124.0,2022-07-11 00:00:00,39
1,350649.0,2022-07-11 00:00:00,41
1,2988.0,2022-07-11 00:00:00,44
1,35662.0,2022-07-11 00:00:00,47
1,5859.0,2022-07-11 00:00:00,52
1,15720.5,2022-07-14 00:00:00,3
1,904.5,2022-07-14 00:00:00,5
1,36815.0,2022-07-14 00:00:00,7
1,15861.0,2022-07-14 00:00:00,13
1,242667.5,2022-07-14 00:00:00,22
1,47357.0,2022-07-14 00:00:00,27
